application/merge-patch+json,IANA,,true,
application/metalink+xml,APACHE,,true,metalink
application/metalink4+xml,IANA,,true,meta4
application/mets+xml,IANA,,true,mets
application/mf4,IANA,,false,
application/mikey,IANA,,false,
application/mipc,IANA,,false,
application/missing-blocks+cbor-seq,IANA,,false,
application/mmt-aei+xml,IANA,,true,maei
application/mmt-usd+xml,IANA,,true,musd
application/mods+xml,IANA,,true,mods
application/moss-keys,IANA,,false,
application/moss-signature,IANA,,false,
application/mosskey-data,IANA,,false,
application/mosskey-request,IANA,,false,
application/mp21,IANA,,false,m21;mp21
application/mp4,IANA,,false,mp4s;m4p
application/mpeg4-generic,IANA,,false,
application/mpeg4-iod,IANA,,false,
application/mpeg4-iod-xmt,IANA,,false,
application/mrb-consumer+xml,IANA,,true,
application/mrb-publish+xml,IANA,,true,
application/msc-ivr+xml,IANA,UTF-8,true,
application/msc-mixer+xml,IANA,UTF-8,true,
application/msword,IANA,,false,doc;dot
application/mud+json,IANA,,true,
application/multipart-core,IANA,,false,
application/mxf,IANA,,false,mxf
application/n-quads,IANA,,false,nq
application/n-triples,IANA,,false,nt
application/nasdata,IANA,,false,
application/news-checkgroups,IANA,US-ASCII,false,
application/news-groupinfo,IANA,US-ASCII,false,
application/news-transmission,IANA,,false,
application/nlsml+xml,IANA,,true,
application/node,IANA,,false,cjs
application/nss,IANA,,false,
application/oauth-authz-req+jwt,IANA,,false,
application/oblivious-dns-message,IANA,,false,
application/ocsp-request,IANA,,false,
application/ocsp-response,IANA,,false,
application/octet-stream,IANA,,false,bin;dms;lrf;mar;so;dist;distz;pkg;bpk;dump;elc;deploy;exe;dll;deb;dmg;iso;img;msi;msp;msm;buffer
application/oda,IANA,,false,oda
application/odm+xml,IANA,,true,
application/odx,IANA,,false,
application/oebps-package+xml,IANA,,true,opf
application/ogg,IANA,,false,ogx
application/omdoc+xml,APACHE,,true,omdoc
application/onenote,APACHE,,false,onetoc;onetoc2;onetmp;onepkg
application/opc-nodeset+xml,IANA,,true,
